epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3511.97,0.89516,0.54646,1.48425,0.95559,0.93686,0.96909,0.79393,0.83347,0.53302,1.47126,0.000515,0.000515,0.000515
77,5676.25,0.89402,0.54993,1.48402,0.94746,0.93551,0.96991,0.79301,0.83353,0.53715,1.47227,0.0004952,0.0004952,0.0004952
78,6010.05,0.88634,0.54299,1.4826,0.95836,0.93511,0.9691,0.78821,0.84551,0.53601,1.47379,0.0004754,0.0004754,0.0004754
79,6363.14,0.90188,0.55102,1.4973,0.95461,0.93703,0.97032,0.79177,0.84169,0.53817,1.47147,0.0004556,0.0004556,0.0004556
80,6701.71,0.90134,0.55103,1.49522,0.9581,0.93558,0.97096,0.79232,0.84047,0.53688,1.47963,0.0004358,0.0004358,0.0004358
81,7078.61,0.90388,0.55122,1.49296,0.94962,0.93613,0.97014,0.79676,0.82435,0.53292,1.47765,0.000416,0.000416,0.000416
82,7496.99,0.9019,0.55025,1.49348,0.96012,0.93792,0.97019,0.79735,0.82638,0.5259,1.48156,0.0003962,0.0003962,0.0003962
83,7965.7,0.90536,0.54921,1.49269,0.9541,0.92281,0.96305,0.79113,0.8273,0.53343,1.46413,0.0003764,0.0003764,0.0003764
84,8469.79,0.89381,0.54436,1.48921,0.95799,0.91229,0.95794,0.7864,0.82188,0.52457,1.48707,0.0003566,0.0003566,0.0003566
85,8939.27,0.88931,0.54198,1.49549,0.95611,0.92966,0.96679,0.79528,0.81975,0.52942,1.45124,0.0003368,0.0003368,0.0003368
86,9362.92,0.89165,0.5457,1.47113,0.9606,0.93808,0.97196,0.79882,0.82263,0.52585,1.4673,0.000317,0.000317,0.000317
87,9795.49,0.88198,0.54143,1.48717,0.95646,0.91535,0.95784,0.78853,0.82143,0.52594,1.48501,0.0002972,0.0002972,0.0002972
88,11641.2,0.88588,0.54127,1.49211,0.95745,0.92327,0.96385,0.79021,0.82766,0.53212,1.45,0.0002774,0.0002774,0.0002774
89,12062.5,0.88435,0.54072,1.47997,0.9577,0.93878,0.97118,0.79827,0.82069,0.52768,1.44802,0.0002576,0.0002576,0.0002576
90,12465.9,0.88732,0.54326,1.47969,0.95617,0.92475,0.9637,0.79524,0.81279,0.5245,1.44061,0.0002378,0.0002378,0.0002378
91,13352.8,0.87239,0.54784,1.51061,0.95748,0.93851,0.9701,0.79845,0.82025,0.53074,1.46399,0.000218,0.000218,0.000218
92,14217,0.8542,0.53593,1.48087,0.95667,0.93902,0.97042,0.79895,0.8179,0.52625,1.45049,0.0001982,0.0001982,0.0001982
93,15027.8,0.84677,0.53081,1.47923,0.96033,0.93727,0.97105,0.80145,0.81288,0.52201,1.44968,0.0001784,0.0001784,0.0001784
94,15683.7,0.8397,0.52786,1.46696,0.95834,0.9401,0.97161,0.80282,0.81167,0.52238,1.44638,0.0001586,0.0001586,0.0001586
95,17659.6,0.84016,0.52815,1.47366,0.96068,0.93823,0.97207,0.80294,0.8087,0.52183,1.46073,0.0001388,0.0001388,0.0001388
96,21920,0.83659,0.52515,1.46871,0.96138,0.93838,0.97198,0.80402,0.8058,0.52075,1.45199,0.000119,0.000119,0.000119
97,25762.3,0.83001,0.52159,1.47429,0.96323,0.9401,0.97243,0.80571,0.80055,0.51548,1.44821,9.92e-05,9.92e-05,9.92e-05
98,266.75,0.82774,0.52004,1.47409,0.95999,0.8848,0.94243,0.7798,0.80163,0.51862,1.44831,7.94e-05,7.94e-05,7.94e-05
99,542.681,0.82364,0.51791,1.47344,0.96188,0.93944,0.97182,0.80681,0.7982,0.51495,1.44826,5.96e-05,5.96e-05,5.96e-05
100,803.421,0.82676,0.52029,1.47239,0.96303,0.93948,0.97209,0.80722,0.79612,0.51382,1.4485,3.98e-05,3.98e-05,3.98e-05
