epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
163,14796.6,0.85218,0.44641,0.18147,0.00206,0.91699,0.9086,0.95647,0.78757,0.75605,0.40352,0.28017,0.0005,0.0003962,0.0003962,0.0003962
164,15156.2,0.85034,0.43867,0.18471,0.00194,0.92358,0.90283,0.95627,0.78714,0.75574,0.40389,0.2802,0.00059,0.0003863,0.0003863,0.0003863
165,15510.3,0.85858,0.44101,0.18295,0.00195,0.92384,0.90515,0.95677,0.788,0.75561,0.40159,0.28036,0.00051,0.0003764,0.0003764,0.0003764
166,15870.6,0.85389,0.44224,0.18297,0.00193,0.92266,0.90365,0.95655,0.78814,0.75273,0.40354,0.28028,0.00051,0.0003665,0.0003665,0.0003665
167,16158.1,0.84896,0.4369,0.18182,0.00202,0.9235,0.90349,0.95663,0.78798,0.75202,0.40553,0.28024,0.00051,0.0003566,0.0003566,0.0003566
168,16491.4,0.84369,0.43268,0.1815,0.00205,0.92302,0.90668,0.95683,0.78799,0.75291,0.40445,0.28038,0.00059,0.0003467,0.0003467,0.0003467
169,16801.7,0.84633,0.4387,0.18323,0.00208,0.92612,0.90521,0.95735,0.7881,0.75458,0.40243,0.28046,0.0006,0.0003368,0.0003368,0.0003368
170,17107.6,0.84575,0.43971,0.18114,0.00197,0.92789,0.90349,0.95734,0.78824,0.75288,0.40308,0.28022,0.00059,0.0003269,0.0003269,0.0003269
171,17444,0.84758,0.4367,0.17981,0.00197,0.9246,0.90754,0.95758,0.7887,0.75388,0.40049,0.28025,0.00059,0.000317,0.000317,0.000317
172,17785.1,0.83962,0.43388,0.18307,0.00192,0.92534,0.90357,0.95734,0.78938,0.7505,0.3988,0.28028,0.0006,0.0003071,0.0003071,0.0003071
173,18107.5,0.84739,0.44036,0.18141,0.00202,0.92222,0.90637,0.95704,0.78875,0.75064,0.39812,0.2803,0.00059,0.0002972,0.0002972,0.0002972
174,18419.9,0.84614,0.43673,0.17896,0.00209,0.92338,0.90139,0.95644,0.78817,0.75069,0.40019,0.28051,0.00058,0.0002873,0.0002873,0.0002873
175,18740,0.84906,0.44083,0.18036,0.0021,0.91833,0.90232,0.95599,0.78782,0.75117,0.40066,0.28055,0.00059,0.0002774,0.0002774,0.0002774
176,19047.6,0.842,0.43928,0.18023,0.00207,0.92338,0.90211,0.95685,0.78966,0.7491,0.39844,0.28026,0.00058,0.0002675,0.0002675,0.0002675
177,19357.8,0.84234,0.43813,0.17804,0.00209,0.92113,0.9097,0.95741,0.7896,0.74849,0.39696,0.28036,0.00057,0.0002576,0.0002576,0.0002576
178,19694.1,0.84391,0.43834,0.17812,0.00207,0.92795,0.90403,0.95763,0.78947,0.74879,0.39655,0.2803,0.00048,0.0002477,0.0002477,0.0002477
179,268.107,0.83582,0.42805,0.17987,0.00198,0.92468,0.90466,0.95712,0.78951,0.74791,0.39781,0.28034,0.00049,0.0002378,0.0002378,0.0002378
180,564.006,0.83532,0.43124,0.18177,0.00209,0.92607,0.90445,0.95737,0.78974,0.74772,0.39929,0.28014,0.00049,0.0002279,0.0002279,0.0002279
181,853.249,0.83149,0.4293,0.18108,0.00193,0.92523,0.90602,0.95757,0.78998,0.74839,0.39952,0.28016,0.00058,0.000218,0.000218,0.000218
182,1135.83,0.83108,0.42779,0.18217,0.00203,0.92363,0.90925,0.95747,0.78971,0.74925,0.39814,0.2804,0.00058,0.0002081,0.0002081,0.0002081
183,1429.37,0.83405,0.42743,0.18053,0.00206,0.92384,0.90777,0.95752,0.79026,0.74787,0.39892,0.28027,0.00048,0.0001982,0.0001982,0.0001982
184,1770.97,0.83134,0.42774,0.18453,0.00174,0.92432,0.90637,0.95687,0.78982,0.74805,0.39997,0.2802,0.00051,0.0001883,0.0001883,0.0001883
185,2104.33,0.83561,0.43276,0.17727,0.00208,0.92179,0.90701,0.95682,0.78994,0.74779,0.40067,0.28021,0.00048,0.0001784,0.0001784,0.0001784
186,2416.43,0.83133,0.42773,0.18042,0.00195,0.91915,0.90946,0.95713,0.79005,0.74666,0.39967,0.28026,0.00057,0.0001685,0.0001685,0.0001685
187,2725.42,0.8327,0.42956,0.18095,0.00194,0.92255,0.9074,0.95743,0.7906,0.74634,0.3985,0.28024,0.00057,0.0001586,0.0001586,0.0001586
188,3023.34,0.8336,0.43495,0.18126,0.00206,0.92282,0.90621,0.95714,0.78999,0.74735,0.39875,0.28021,0.00057,0.0001487,0.0001487,0.0001487
189,3325.96,0.82951,0.43002,0.17807,0.00199,0.92395,0.9038,0.95705,0.79051,0.74564,0.40018,0.28017,0.00057,0.0001388,0.0001388,0.0001388
190,3636.61,0.82751,0.4323,0.1807,0.00196,0.92841,0.90204,0.95732,0.79059,0.74452,0.40044,0.28016,0.00056,0.0001289,0.0001289,0.0001289
191,4175.64,0.77928,0.40346,0.27322,0.00065,0.92714,0.90497,0.95765,0.7903,0.74717,0.39711,0.28015,0.00055,0.000119,0.000119,0.000119
192,4575.67,0.76687,0.39036,0.2727,0.00064,0.92962,0.90115,0.95756,0.78911,0.75042,0.39639,0.2801,0.00057,0.0001091,0.0001091,0.0001091
193,4949.12,0.76752,0.39352,0.27553,0.00065,0.92678,0.90513,0.95786,0.78935,0.75134,0.39607,0.28015,0.00057,9.92e-05,9.92e-05,9.92e-05
194,5363.2,0.76245,0.38717,0.276,0.00062,0.92561,0.90721,0.95808,0.78883,0.75281,0.39633,0.2803,0.00057,8.93e-05,8.93e-05,8.93e-05
195,5791.58,0.75827,0.3858,0.27357,0.00063,0.92594,0.90809,0.95817,0.78914,0.75325,0.3953,0.28034,0.00057,7.94e-05,7.94e-05,7.94e-05
196,6191.05,0.75417,0.38742,0.27387,0.00062,0.92315,0.91027,0.95828,0.78948,0.75198,0.39638,0.28037,0.00058,6.95e-05,6.95e-05,6.95e-05
197,6590.26,0.75187,0.38912,0.2727,0.00063,0.92451,0.91066,0.95832,0.78986,0.75092,0.39586,0.28038,0.00058,5.96e-05,5.96e-05,5.96e-05
198,6959.62,0.75675,0.3857,0.27287,0.00063,0.92677,0.90988,0.95845,0.79004,0.75032,0.39514,0.28034,0.00058,4.97e-05,4.97e-05,4.97e-05
199,7336.29,0.75788,0.38999,0.27362,0.00065,0.92816,0.9077,0.95861,0.79071,0.75043,0.39403,0.28036,0.00058,3.98e-05,3.98e-05,3.98e-05
200,7679.97,0.75173,0.38577,0.27451,0.00061,0.92804,0.90738,0.95858,0.79043,0.75002,0.39419,0.28039,0.00057,2.99e-05,2.99e-05,2.99e-05
