epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,17149.9,0.80974,0.51957,0.97843,0.93159,0.90135,0.93247,0.75908,0.72559,0.48579,0.92453,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,18265.2,0.81,0.51789,0.98174,0.93352,0.91237,0.94674,0.77029,0.72142,0.47985,0.92388,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,19674.2,0.80388,0.51476,0.97776,0.93849,0.91544,0.9478,0.77321,0.71936,0.48298,0.92287,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,20830.2,0.80711,0.51668,0.97633,0.94256,0.90911,0.9413,0.76908,0.71427,0.47195,0.91921,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,22047.8,0.80186,0.51318,0.97717,0.93244,0.89335,0.92255,0.74829,0.71848,0.47616,0.92164,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,23476.2,0.80296,0.5146,0.97627,0.93385,0.85702,0.88561,0.72391,0.71319,0.47643,0.91883,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,24831.4,0.7963,0.51062,0.97459,0.94216,0.87302,0.90116,0.73406,0.71207,0.47147,0.91705,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,26374.4,0.80137,0.51213,0.97575,0.9312,0.88979,0.9161,0.74816,0.709,0.47067,0.91798,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,27834.5,0.80423,0.51238,0.97482,0.93712,0.87969,0.90895,0.74399,0.70968,0.46981,0.91601,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,29553.2,0.80227,0.51312,0.97596,0.93576,0.8621,0.88815,0.72717,0.70031,0.46727,0.91463,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,31223.2,0.7959,0.50748,0.97377,0.93809,0.86526,0.8945,0.72959,0.70608,0.46731,0.91396,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,32590.5,0.79217,0.50716,0.97208,0.9459,0.8969,0.92831,0.76464,0.70162,0.4643,0.91443,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,34180.9,0.79475,0.5071,0.97417,0.94066,0.88359,0.91679,0.75181,0.69861,0.46361,0.91316,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,36177.7,0.79698,0.50749,0.97454,0.94099,0.87242,0.89939,0.73851,0.70057,0.46674,0.91494,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,37894.7,0.79193,0.50504,0.97165,0.93975,0.87899,0.9088,0.74449,0.70086,0.46368,0.91359,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,39462.6,0.78806,0.50241,0.96969,0.94018,0.83838,0.86572,0.71011,0.69722,0.46253,0.91225,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,42120,0.78922,0.50286,0.97004,0.93752,0.85724,0.88727,0.72607,0.69462,0.46368,0.91037,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,44851.3,0.78911,0.50268,0.96867,0.94158,0.88464,0.91183,0.75144,0.69072,0.46126,0.91086,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,47454.9,0.78084,0.4991,0.96686,0.94099,0.89494,0.92109,0.7586,0.68948,0.45698,0.91022,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,49938.9,0.78994,0.5043,0.97006,0.9395,0.91146,0.93979,0.77581,0.69219,0.4585,0.90961,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,63116.2,0.78375,0.49849,0.96773,0.94282,0.90711,0.93604,0.77329,0.68671,0.45538,0.90864,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,65559.8,0.78228,0.49832,0.96642,0.94066,0.87132,0.90088,0.74379,0.68648,0.45686,0.909,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,68602.8,0.77962,0.49746,0.96771,0.94067,0.84889,0.87215,0.72031,0.68343,0.45323,0.90632,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,517.91,0.77064,0.49038,0.96096,0.94403,0.78418,0.80598,0.67535,0.68446,0.45604,0.90711,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,1230.13,0.77814,0.49473,0.96437,0.94146,0.87324,0.89864,0.74225,0.68516,0.45536,0.90645,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3452.84,0.76847,0.48916,0.96215,0.94084,0.88817,0.91166,0.75809,0.68375,0.45062,0.90655,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4464.34,0.76921,0.49187,0.9612,0.94428,0.90015,0.92968,0.7709,0.68159,0.44977,0.90599,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,5164.83,0.76795,0.48989,0.96183,0.93933,0.90272,0.92792,0.77075,0.68112,0.45055,0.90575,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5880.46,0.76875,0.48706,0.96165,0.94318,0.91879,0.94816,0.78551,0.67669,0.44795,0.90492,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,6731.61,0.7701,0.48964,0.96018,0.94422,0.9219,0.94921,0.78714,0.67931,0.45069,0.90502,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,7571.88,0.7685,0.48767,0.96135,0.94136,0.91451,0.94033,0.78015,0.68017,0.45036,0.90481,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,8400.86,0.76221,0.48401,0.96007,0.94466,0.92142,0.94883,0.78855,0.67603,0.4487,0.90442,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,9207.2,0.76594,0.48591,0.96148,0.94512,0.88974,0.91883,0.76244,0.67596,0.44645,0.90377,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
