epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,17073.4,0.91916,0.69646,1.53379,0.75384,0.78567,0.77959,0.62903,0.86885,0.91063,1.5161,0.000189072,0.000189072,0.000189072
82,18928.5,0.91824,0.7095,1.53844,0.81787,0.83397,0.83204,0.67853,0.86478,0.80645,1.51779,0.000180073,0.000180073,0.000180073
83,21703.1,0.91691,0.70691,1.53835,0.76377,0.81849,0.79611,0.64565,0.86355,0.87554,1.52591,0.000171074,0.000171074,0.000171074
84,24749.4,0.91739,0.69714,1.53502,0.85122,0.8334,0.84646,0.69142,0.85686,0.78278,1.51563,0.000162075,0.000162075,0.000162075
85,27230.9,0.92037,0.69783,1.53921,0.81912,0.83572,0.81429,0.66324,0.85646,0.82817,1.51918,0.000153076,0.000153076,0.000153076
86,31236.9,0.90997,0.6958,1.52916,0.81538,0.83677,0.82296,0.66929,0.85668,0.82224,1.51602,0.000144077,0.000144077,0.000144077
87,646.369,0.91411,0.68749,1.53326,0.7488,0.14262,0.4502,0.36302,0.85842,0.81156,1.50388,0.000135077,0.000135077,0.000135077
88,1555.02,0.90877,0.68648,1.53933,0.74653,0.1615,0.45507,0.36478,0.85886,0.84228,1.50872,0.000126078,0.000126078,0.000126078
89,2489.9,0.90308,0.6827,1.52274,0.80078,0.23063,0.51858,0.42292,0.85397,0.80614,1.5087,0.000117079,0.000117079,0.000117079
90,3673.36,0.90798,0.68737,1.53417,0.79296,0.42442,0.61496,0.49889,0.8554,0.8233,1.51122,0.00010808,0.00010808,0.00010808
91,5466.32,0.91532,0.74033,1.58494,0.75873,0.55667,0.66464,0.53962,0.86153,0.82322,1.5215,9.9081e-05,9.9081e-05,9.9081e-05
92,7033.48,0.89575,0.71999,1.56614,0.7826,0.69732,0.7518,0.61032,0.85819,0.81557,1.50528,9.00819e-05,9.00819e-05,9.00819e-05
93,8525.1,0.89624,0.70742,1.57126,0.78614,0.75926,0.78652,0.63932,0.8562,0.82722,1.51074,8.10828e-05,8.10828e-05,8.10828e-05
94,9996.4,0.88867,0.70158,1.55463,0.83041,0.8035,0.82316,0.67279,0.84751,0.78093,1.50965,7.20837e-05,7.20837e-05,7.20837e-05
95,11498.3,0.88914,0.70598,1.55538,0.78461,0.82458,0.79387,0.6458,0.84947,0.82024,1.51336,6.30846e-05,6.30846e-05,6.30846e-05
96,13035.9,0.87955,0.69641,1.54935,0.77277,0.81062,0.77966,0.63533,0.85098,0.84441,1.50451,5.40855e-05,5.40855e-05,5.40855e-05
97,15105.5,0.87762,0.69819,1.53755,0.81106,0.78896,0.81038,0.6633,0.84776,0.7981,1.50295,4.50864e-05,4.50864e-05,4.50864e-05
98,17630.5,0.87526,0.69671,1.54375,0.82342,0.84566,0.8443,0.6928,0.84609,0.78449,1.49698,3.60873e-05,3.60873e-05,3.60873e-05
99,22726.2,0.87646,0.69666,1.53763,0.80601,0.85892,0.83876,0.68729,0.84542,0.79596,1.50056,2.70882e-05,2.70882e-05,2.70882e-05
100,31866,0.87436,0.68863,1.54244,0.79743,0.85373,0.82808,0.67798,0.84411,0.80544,1.50075,1.80891e-05,1.80891e-05,1.80891e-05
